Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1672527600000,2022-12-31 23:00:00,BTCUSDT,16520.28,16551.24,16487.74,16542.4,4973.43307,82171827.9808221,152632
1672524000000,2022-12-31 22:00:00,BTCUSDT,16548.28,16567.49,16470.0,16520.81,6695.13625,110666927.657235,153933
1672520400000,2022-12-31 21:00:00,BTCUSDT,16568.19,16571.64,16544.12,16548.28,3618.77389,59928028.0799369,105065
1672516800000,2022-12-31 20:00:00,BTCUSDT,16570.14,16574.97,16564.09,16568.6,2622.14355,43448487.2189843,90705
1672513200000,2022-12-31 19:00:00,BTCUSDT,16577.78,16590.06,16565.1,16570.14,4044.43359,67046046.9886939,116587
1672509600000,2022-12-31 18:00:00,BTCUSDT,16581.45,16589.36,16571.8,16577.79,3340.8033,55390099.9166553,114647
1672506000000,2022-12-31 17:00:00,BTCUSDT,16600.93,16604.37,16571.01,16582.08,4844.04845,80341047.1148167,149262
1672502400000,2022-12-31 16:00:00,BTCUSDT,16590.1,16613.3,16581.24,16600.39,4269.58976,70865537.0612017,128839
1672498800000,2022-12-31 15:00:00,BTCUSDT,16586.43,16625.79,16585.51,16590.1,5555.8691,92247796.9903985,149420
1672495200000,2022-12-31 14:00:00,BTCUSDT,16600.89,16644.09,16580.7,16586.43,9012.70007,149725926.0935181,203024
1672491600000,2022-12-31 13:00:00,BTCUSDT,16575.07,16606.84,16572.01,16600.89,7158.39727,118740362.3879572,186324
1672488000000,2022-12-31 12:00:00,BTCUSDT,16567.52,16582.36,16547.12,16575.44,6112.3432,101245669.529093,175609
1672484400000,2022-12-31 11:00:00,BTCUSDT,16565.74,16580.41,16563.3,16567.15,4737.68685,78503754.0875261,154854
1672480800000,2022-12-31 10:00:00,BTCUSDT,16543.79,16573.8,16543.0,16566.03,5399.21055,89408036.8687164,157716
1672477200000,2022-12-31 09:00:00,BTCUSDT,16554.05,16557.98,16540.01,16544.26,4941.66722,81776793.7467556,140166
1672473600000,2022-12-31 08:00:00,BTCUSDT,16564.81,16583.9,16549.0,16554.05,5699.19526,94400558.5666746,160569
1672470000000,2022-12-31 07:00:00,BTCUSDT,16546.43,16568.12,16542.36,16565.09,4090.93041,67717395.0934399,126347
1672466400000,2022-12-31 06:00:00,BTCUSDT,16538.29,16556.67,16534.03,16546.71,3921.13944,64884843.313554,123257
1672462800000,2022-12-31 05:00:00,BTCUSDT,16551.89,16566.37,16531.0,16538.76,4569.94132,75634685.829058,123449
1672459200000,2022-12-31 04:00:00,BTCUSDT,16552.46,16555.59,16541.75,16551.89,3226.93841,53404328.9491107,108310
1672455600000,2022-12-31 03:00:00,BTCUSDT,16576.18,16577.38,16550.01,16552.46,3814.65216,63182748.4842281,131625
1672452000000,2022-12-31 02:00:00,BTCUSDT,16568.23,16579.79,16560.47,16575.94,3569.36115,59142421.5344344,122394
1672448400000,2022-12-31 01:00:00,BTCUSDT,16580.32,16583.69,16562.36,16568.24,4007.77589,66416207.350944,127411
1672444800000,2022-12-31 00:00:00,BTCUSDT,16607.48,16616.37,16578.0,16580.32,4264.25848,70757974.0751428,142229
1672441200000,2022-12-30 23:00:00,BTCUSDT,16582.81,16618.75,16568.0,16607.48,4986.34147,82763701.4594465,134160
1672437600000,2022-12-30 22:00:00,BTCUSDT,16585.06,16597.0,16577.57,16583.27,3950.19324,65520348.0580476,105828
1672434000000,2022-12-30 21:00:00,BTCUSDT,16569.36,16677.35,16568.31,16585.06,8873.19505,147364179.8048711,192447
1672430400000,2022-12-30 20:00:00,BTCUSDT,16525.91,16571.51,16523.91,16568.69,6253.72281,103471404.4001362,158310
1672426800000,2022-12-30 19:00:00,BTCUSDT,16565.77,16570.53,16523.81,16525.37,5870.78136,97176299.800984,149374
1672423200000,2022-12-30 18:00:00,BTCUSDT,16533.77,16574.61,16518.81,16565.77,6439.89128,106527999.6065146,158810
1672419600000,2022-12-30 17:00:00,BTCUSDT,16545.86,16551.4,16517.08,16533.12,5701.12566,94240544.2386068,153760
1672416000000,2022-12-30 16:00:00,BTCUSDT,16555.26,16577.0,16515.45,16545.86,7841.68863,129706684.0435686,193123
1672412400000,2022-12-30 15:00:00,BTCUSDT,16414.18,16580.7,16400.4,16555.26,16056.89492,265017763.3964442,326597
1672408800000,2022-12-30 14:00:00,BTCUSDT,16465.87,16500.44,16333.0,16413.4,15026.83088,246991158.86285073,311320
1672405200000,2022-12-30 13:00:00,BTCUSDT,16494.14,16505.95,16457.63,16465.88,6201.32397,102210751.6120771,175000
1672401600000,2022-12-30 12:00:00,BTCUSDT,16495.96,16507.92,16472.31,16494.58,7404.90011,122123033.9781932,212619
1672398000000,2022-12-30 11:00:00,BTCUSDT,16488.87,16518.3,16484.0,16496.27,4547.98774,75046865.941323,148884
1672394400000,2022-12-30 10:00:00,BTCUSDT,16517.55,16530.64,16485.51,16488.71,5143.69237,84926041.8389651,146491
1672390800000,2022-12-30 09:00:00,BTCUSDT,16500.24,16531.1,16497.31,16517.21,5194.88816,85801158.6706779,162199
1672387200000,2022-12-30 08:00:00,BTCUSDT,16475.1,16510.09,16458.25,16500.24,5619.33858,92634407.4222451,189812
1672383600000,2022-12-30 07:00:00,BTCUSDT,16545.55,16546.38,16429.0,16474.93,11773.01126,194131518.57241648,260496
1672380000000,2022-12-30 06:00:00,BTCUSDT,16554.39,16574.66,16534.52,16544.94,5926.63285,98115621.7021296,172379
