Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USDT,tradecount
1672527600000,2022-12-31 23:00:00,LTCUSDT,70.08,70.3,69.79,70.14,13547.208,948656.75125,2306
1672524000000,2022-12-31 22:00:00,LTCUSDT,70.24,70.24,69.71,70.09,12617.983,883842.21347,2288
1672520400000,2022-12-31 21:00:00,LTCUSDT,70.4,70.45,70.19,70.23,9698.226,682072.3008,1580
1672516800000,2022-12-31 20:00:00,LTCUSDT,70.15,70.53,70.08,70.39,16666.366,1173164.30498,2150
1672513200000,2022-12-31 19:00:00,LTCUSDT,69.93,70.32,69.93,70.15,14214.55,996435.54889,2499
1672509600000,2022-12-31 18:00:00,LTCUSDT,70.16,70.23,69.88,69.93,8515.249,596548.76239,2130
1672506000000,2022-12-31 17:00:00,LTCUSDT,70.19,70.33,69.79,70.16,17053.692,1194175.37585,3546
1672502400000,2022-12-31 16:00:00,LTCUSDT,70.07,70.42,69.93,70.2,20210.881,1418544.08352,3429
1672498800000,2022-12-31 15:00:00,LTCUSDT,70.5,70.53,70.0,70.08,49942.058,3511360.00936,5903
1672495200000,2022-12-31 14:00:00,LTCUSDT,70.79,71.06,70.44,70.5,61696.792,4358822.04261,8940
1672491600000,2022-12-31 13:00:00,LTCUSDT,68.57,71.12,68.5,70.79,166766.141,11705409.51433,18827
1672488000000,2022-12-31 12:00:00,LTCUSDT,68.44,68.62,68.22,68.56,30736.501,2104803.05833,4614
1672484400000,2022-12-31 11:00:00,LTCUSDT,68.43,68.49,68.29,68.43,12807.374,876010.45553,2629
1672480800000,2022-12-31 10:00:00,LTCUSDT,68.02,68.47,68.01,68.43,18905.539,1291422.8077,2845
1672477200000,2022-12-31 09:00:00,LTCUSDT,68.07,68.11,67.95,68.02,6035.712,410642.44246,1670
1672473600000,2022-12-31 08:00:00,LTCUSDT,68.01,68.16,67.92,68.06,17491.675,1189791.27274,2726
1672470000000,2022-12-31 07:00:00,LTCUSDT,67.82,68.0,67.72,68.0,8015.159,543705.51017,1763
1672466400000,2022-12-31 06:00:00,LTCUSDT,67.88,67.95,67.71,67.83,6747.86,457568.78507,1645
1672462800000,2022-12-31 05:00:00,LTCUSDT,67.87,68.06,67.8,67.89,7455.51,506728.89822,1569
1672459200000,2022-12-31 04:00:00,LTCUSDT,68.02,68.04,67.77,67.87,15084.464,1024303.83686,2184
1672455600000,2022-12-31 03:00:00,LTCUSDT,68.23,68.27,67.95,68.01,11363.668,773563.29915,2284
1672452000000,2022-12-31 02:00:00,LTCUSDT,67.96,68.37,67.82,68.23,14712.587,1002465.76312,2702
1672448400000,2022-12-31 01:00:00,LTCUSDT,67.88,68.0,67.62,67.95,12607.424,854696.86709,2291
1672444800000,2022-12-31 00:00:00,LTCUSDT,67.94,68.15,67.68,67.88,11101.878,753937.48939,2143
1672441200000,2022-12-30 23:00:00,LTCUSDT,67.93,68.18,67.89,67.94,16166.696,1099901.54856,2727
1672437600000,2022-12-30 22:00:00,LTCUSDT,67.8,67.99,67.69,67.92,15193.436,1030329.96103,2483
1672434000000,2022-12-30 21:00:00,LTCUSDT,68.25,68.72,67.8,67.8,25466.024,1739565.61716,4783
1672430400000,2022-12-30 20:00:00,LTCUSDT,67.89,68.27,67.88,68.26,12877.97,876739.05239,2807
1672426800000,2022-12-30 19:00:00,LTCUSDT,67.93,68.16,67.81,67.9,12899.972,876837.54614,3089
1672423200000,2022-12-30 18:00:00,LTCUSDT,67.64,67.99,67.57,67.94,12585.774,853252.66147,2741
1672419600000,2022-12-30 17:00:00,LTCUSDT,67.96,67.99,67.47,67.63,25472.818,1724019.41814,3996
1672416000000,2022-12-30 16:00:00,LTCUSDT,67.84,68.28,67.54,67.96,45088.478,3062401.67891,7114
1672412400000,2022-12-30 15:00:00,LTCUSDT,66.97,67.92,66.8,67.83,45718.801,3085847.95638,7300
1672408800000,2022-12-30 14:00:00,LTCUSDT,66.57,67.12,66.47,66.97,33329.113,2226436.53975,5644
1672405200000,2022-12-30 13:00:00,LTCUSDT,66.72,66.83,66.49,66.57,10621.628,708354.4327,2767
1672401600000,2022-12-30 12:00:00,LTCUSDT,66.6,66.83,66.32,66.72,12121.476,807339.64463,3202
1672398000000,2022-12-30 11:00:00,LTCUSDT,66.59,66.78,66.45,66.61,11631.97,775035.21246,2339
1672394400000,2022-12-30 10:00:00,LTCUSDT,66.77,66.92,66.56,66.59,10063.639,671828.5022,2458
1672390800000,2022-12-30 09:00:00,LTCUSDT,66.55,66.83,66.5,66.77,16468.764,1098175.87585,3267
1672387200000,2022-12-30 08:00:00,LTCUSDT,66.45,66.62,66.24,66.55,14713.303,977391.40967,3225
