Date,Open,High,Low,Close,Volume USDT
2022-12-31 23:00:00,70.08,70.3,69.79,70.14,948656.75125
2022-12-31 22:00:00,70.24,70.24,69.71,70.09,883842.21347
2022-12-31 21:00:00,70.4,70.45,70.19,70.23,682072.3008
2022-12-31 20:00:00,70.15,70.53,70.08,70.39,1173164.30498
2022-12-31 19:00:00,69.93,70.32,69.93,70.15,996435.54889
2022-12-31 18:00:00,70.16,70.23,69.88,69.93,596548.76239
2022-12-31 17:00:00,70.19,70.33,69.79,70.16,1194175.37585
2022-12-31 16:00:00,70.07,70.42,69.93,70.2,1418544.08352
2022-12-31 15:00:00,70.5,70.53,70.0,70.08,3511360.00936
2022-12-31 14:00:00,70.79,71.06,70.44,70.5,4358822.04261
2022-12-31 13:00:00,68.57,71.12,68.5,70.79,11705409.51433
2022-12-31 12:00:00,68.44,68.62,68.22,68.56,2104803.05833
2022-12-31 11:00:00,68.43,68.49,68.29,68.43,876010.45553
2022-12-31 10:00:00,68.02,68.47,68.01,68.43,1291422.8077
2022-12-31 09:00:00,68.07,68.11,67.95,68.02,410642.44246
2022-12-31 08:00:00,68.01,68.16,67.92,68.06,1189791.27274
2022-12-31 07:00:00,67.82,68.0,67.72,68.0,543705.51017
2022-12-31 06:00:00,67.88,67.95,67.71,67.83,457568.78507
2022-12-31 05:00:00,67.87,68.06,67.8,67.89,506728.89822
2022-12-31 04:00:00,68.02,68.04,67.77,67.87,1024303.83686
2022-12-31 03:00:00,68.23,68.27,67.95,68.01,773563.29915
2022-12-31 02:00:00,67.96,68.37,67.82,68.23,1002465.76312
2022-12-31 01:00:00,67.88,68.0,67.62,67.95,854696.86709
2022-12-31 00:00:00,67.94,68.15,67.68,67.88,753937.48939
2022-12-30 23:00:00,67.93,68.18,67.89,67.94,1099901.54856
2022-12-30 22:00:00,67.8,67.99,67.69,67.92,1030329.96103
2022-12-30 21:00:00,68.25,68.72,67.8,67.8,1739565.61716
2022-12-30 20:00:00,67.89,68.27,67.88,68.26,876739.05239
2022-12-30 19:00:00,67.93,68.16,67.81,67.9,876837.54614
2022-12-30 18:00:00,67.64,67.99,67.57,67.94,853252.66147
2022-12-30 17:00:00,67.96,67.99,67.47,67.63,1724019.41814
2022-12-30 16:00:00,67.84,68.28,67.54,67.96,3062401.67891
2022-12-30 15:00:00,66.97,67.92,66.8,67.83,3085847.95638
2022-12-30 14:00:00,66.57,67.12,66.47,66.97,2226436.53975
2022-12-30 13:00:00,66.72,66.83,66.49,66.57,708354.4327
2022-12-30 12:00:00,66.6,66.83,66.32,66.72,807339.64463
2022-12-30 11:00:00,66.59,66.78,66.45,66.61,775035.21246
2022-12-30 10:00:00,66.77,66.92,66.56,66.59,671828.5022
2022-12-30 09:00:00,66.55,66.83,66.5,66.77,1098175.87585
2022-12-30 08:00:00,66.45,66.62,66.24,66.55,977391.40967
2022-12-30 07:00:00,66.57,66.6,66.04,66.45,2145473.06344
2022-12-30 06:00:00,66.46,66.72,66.36,66.56,1169638.56625
2022-12-30 05:00:00,66.91,66.91,66.26,66.46,1242173.71844
2022-12-30 04:00:00,67.16,67.24,66.8,66.91,1002677.24401
2022-12-30 03:00:00,67.22,67.62,67.1,67.15,1751317.16995
2022-12-30 02:00:00,66.73,67.27,66.72,67.21,1182915.69692
2022-12-30 01:00:00,67.02,67.03,66.45,66.73,655225.65235
