Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1672527600000,2022-12-31 23:00:00,ETHUSDT,1196.18,1197.43,1193.6,1196.13,5927.432,7086714.366494,11029
1672524000000,2022-12-31 22:00:00,ETHUSDT,1200.09,1201.11,1193.08,1196.19,9549.4793,11439520.362038,13241
1672520400000,2022-12-31 21:00:00,ETHUSDT,1202.33,1203.0,1199.83,1200.1,3865.4862,4643400.989241,7913
1672516800000,2022-12-31 20:00:00,ETHUSDT,1202.66,1203.71,1202.3,1202.34,3557.3473,4278878.767171,7917
1672513200000,2022-12-31 19:00:00,ETHUSDT,1199.59,1205.61,1199.42,1202.65,6435.0204,7738028.80176,9906
1672509600000,2022-12-31 18:00:00,ETHUSDT,1200.78,1200.99,1199.24,1199.6,3417.3679,4101148.641916,7848
1672506000000,2022-12-31 17:00:00,ETHUSDT,1202.79,1203.0,1198.9,1200.78,7918.6968,9508228.846988,11068
1672502400000,2022-12-31 16:00:00,ETHUSDT,1202.85,1203.92,1201.06,1202.79,4846.3167,5829283.561158,10258
1672498800000,2022-12-31 15:00:00,ETHUSDT,1203.45,1206.35,1202.49,1202.86,7741.7597,9323952.479899,11625
1672495200000,2022-12-31 14:00:00,ETHUSDT,1201.11,1208.46,1200.54,1203.44,17245.2502,20772427.083915,24888
1672491600000,2022-12-31 13:00:00,ETHUSDT,1197.58,1202.42,1197.26,1201.1,10033.5373,12034667.602163,15838
1672488000000,2022-12-31 12:00:00,ETHUSDT,1197.2,1197.96,1196.0,1197.58,5819.6446,6966258.344775,9849
1672484400000,2022-12-31 11:00:00,ETHUSDT,1198.47,1199.0,1196.81,1197.2,4230.3867,5067839.886068,9362
1672480800000,2022-12-31 10:00:00,ETHUSDT,1196.39,1200.23,1196.39,1198.46,6889.8414,8256075.859797,10894
1672477200000,2022-12-31 09:00:00,ETHUSDT,1196.06,1196.73,1195.63,1196.4,2920.2401,3493390.524277,7920
1672473600000,2022-12-31 08:00:00,ETHUSDT,1196.84,1197.69,1195.55,1196.06,5295.1192,6336666.646602,14445
1672470000000,2022-12-31 07:00:00,ETHUSDT,1195.2,1197.26,1195.06,1196.84,4336.0268,5185580.998751,9551
1672466400000,2022-12-31 06:00:00,ETHUSDT,1193.54,1195.34,1193.03,1195.2,3365.2619,4020213.363288,10595
1672462800000,2022-12-31 05:00:00,ETHUSDT,1195.41,1196.18,1191.66,1193.53,5414.6432,6465199.52613,8720
1672459200000,2022-12-31 04:00:00,ETHUSDT,1194.42,1195.83,1194.11,1195.41,3304.7931,3948620.821936,7630
1672455600000,2022-12-31 03:00:00,ETHUSDT,1196.38,1196.57,1193.83,1194.42,4051.7798,4843308.373337,10054
1672452000000,2022-12-31 02:00:00,ETHUSDT,1196.36,1197.4,1195.77,1196.38,3762.9159,4502676.591504,8484
1672448400000,2022-12-31 01:00:00,ETHUSDT,1197.4,1197.87,1195.97,1196.35,3706.1603,4435360.107941,8231
1672444800000,2022-12-31 00:00:00,ETHUSDT,1199.98,1200.49,1196.88,1197.41,5744.7743,6884278.233721,14303
1672441200000,2022-12-30 23:00:00,ETHUSDT,1198.21,1200.63,1197.77,1199.99,7280.2324,8730920.553927,10900
1672437600000,2022-12-30 22:00:00,ETHUSDT,1198.27,1199.86,1197.33,1198.2,5088.2225,6099500.440889,9674
1672434000000,2022-12-30 21:00:00,ETHUSDT,1197.4,1201.63,1197.4,1198.27,17606.5533,21125195.030244,19587
1672430400000,2022-12-30 20:00:00,ETHUSDT,1194.88,1197.41,1194.88,1197.41,7755.7609,9277623.05625,11097
1672426800000,2022-12-30 19:00:00,ETHUSDT,1197.66,1197.97,1194.61,1194.89,6052.0738,7239207.442189,10771
1672423200000,2022-12-30 18:00:00,ETHUSDT,1195.55,1198.3,1194.02,1197.65,6086.7509,7280872.617015,11010
1672419600000,2022-12-30 17:00:00,ETHUSDT,1195.52,1196.1,1193.86,1195.55,6337.4059,7571679.752998,11575
1672416000000,2022-12-30 16:00:00,ETHUSDT,1195.07,1196.15,1192.77,1195.52,7401.6636,8841268.907095,13781
1672412400000,2022-12-30 15:00:00,ETHUSDT,1189.32,1198.71,1187.46,1195.07,19951.0752,23827520.156707,22802
1672408800000,2022-12-30 14:00:00,ETHUSDT,1190.65,1194.11,1181.08,1189.32,29392.9812,34936831.353171,29741
1672405200000,2022-12-30 13:00:00,ETHUSDT,1192.17,1193.48,1189.82,1190.66,9832.8338,11717237.772936,17434
1672401600000,2022-12-30 12:00:00,ETHUSDT,1190.69,1193.46,1188.57,1192.18,13246.8035,15778875.645629,18393
1672398000000,2022-12-30 11:00:00,ETHUSDT,1190.94,1193.18,1190.3,1190.7,7546.1251,8992421.278175,13117
1672394400000,2022-12-30 10:00:00,ETHUSDT,1192.71,1193.37,1190.59,1190.94,8010.4937,9549553.592701,12996
1672390800000,2022-12-30 09:00:00,ETHUSDT,1191.07,1194.84,1191.07,1192.7,10125.9588,12081123.716809,15650
1672387200000,2022-12-30 08:00:00,ETHUSDT,1188.26,1192.18,1188.16,1191.07,10196.2511,12131544.371104,16988
1672383600000,2022-12-30 07:00:00,ETHUSDT,1193.87,1194.24,1184.59,1188.26,30965.4222,36793391.747176,26740
1672380000000,2022-12-30 06:00:00,ETHUSDT,1193.98,1195.66,1193.09,1193.86,7995.8451,9550199.596123,12665
1672376400000,2022-12-30 05:00:00,ETHUSDT,1197.89,1197.94,1191.48,1193.98,17839.2511,21312791.574166,18204
1672372800000,2022-12-30 04:00:00,ETHUSDT,1197.59,1197.99,1195.9,1197.9,8218.2264,9837552.178365,12842
1672369200000,2022-12-30 03:00:00,ETHUSDT,1197.68,1199.99,1196.12,1197.59,7181.1677,8605159.0984,10894
1672365600000,2022-12-30 02:00:00,ETHUSDT,1195.99,1200.32,1195.18,1197.68,10185.637,12194393.412436,14602
1672362000000,2022-12-30 01:00:00,ETHUSDT,1200.03,1200.76,1195.2,1195.99,6058.0888,7255153.707224,11573
1672358400000,2022-12-30 00:00:00,ETHUSDT,1200.48,1202.15,1198.8,1200.03,5659.3875,6794807.576058,11347
1672354800000,2022-12-29 23:00:00,ETHUSDT,1197.81,1204.18,1197.08,1200.49,11629.1577,13975855.379569,18166
1672351200000,2022-12-29 22:00:00,ETHUSDT,1195.11,1202.89,1194.21,1197.81,9972.0846,11949989.22447,15509
1672347600000,2022-12-29 21:00:00,ETHUSDT,1196.38,1197.1,1194.14,1195.1,6732.5293,8049975.552824,20201
1672344000000,2022-12-29 20:00:00,ETHUSDT,1198.44,1199.15,1191.48,1196.38,15945.4698,19058522.49553,21849
1672340400000,2022-12-29 19:00:00,ETHUSDT,1200.34,1202.0,1196.12,1198.44,7862.6113,9429753.869698,13505
1672336800000,2022-12-29 18:00:00,ETHUSDT,1197.86,1200.47,1195.68,1200.35,7749.7994,9281271.043745,11746
1672333200000,2022-12-29 17:00:00,ETHUSDT,1200.93,1201.62,1195.03,1197.87,10093.1946,12093317.759883,13656
1672329600000,2022-12-29 16:00:00,ETHUSDT,1201.18,1202.9,1198.76,1200.93,9862.7663,11840862.094128,15379
1672326000000,2022-12-29 15:00:00,ETHUSDT,1202.06,1206.57,1201.0,1201.17,15401.1182,18528475.817761,16929
1672322400000,2022-12-29 14:00:00,ETHUSDT,1200.5,1205.35,1199.64,1202.06,12034.6742,14472010.700835,21590
1672318800000,2022-12-29 13:00:00,ETHUSDT,1199.23,1206.31,1198.16,1200.49,17938.1788,21557846.472265,20980
1672315200000,2022-12-29 12:00:00,ETHUSDT,1198.84,1201.37,1197.71,1199.24,7206.0801,8640575.256756,12216
1672311600000,2022-12-29 11:00:00,ETHUSDT,1199.58,1202.61,1198.78,1198.84,7685.859,9225352.000428,12572
1672308000000,2022-12-29 10:00:00,ETHUSDT,1199.21,1200.65,1197.17,1199.59,6223.2036,7460777.031094,11801
1672304400000,2022-12-29 09:00:00,ETHUSDT,1192.08,1202.99,1191.88,1199.2,18376.8256,22023526.131044,20451
1672300800000,2022-12-29 08:00:00,ETHUSDT,1194.96,1195.54,1190.19,1192.09,8115.2485,9676658.54525,13591
1672297200000,2022-12-29 07:00:00,ETHUSDT,1193.9,1195.0,1192.12,1194.97,4750.8184,5669610.684751,9994
1672293600000,2022-12-29 06:00:00,ETHUSDT,1195.33,1195.53,1193.1,1193.9,4658.1149,5562833.064481,15231
1672290000000,2022-12-29 05:00:00,ETHUSDT,1195.66,1196.21,1193.24,1195.33,5502.7427,6574823.157232,9628
1672286400000,2022-12-29 04:00:00,ETHUSDT,1194.96,1199.0,1193.65,1195.66,12129.1069,14501951.485,14736
1672282800000,2022-12-29 03:00:00,ETHUSDT,1191.7,1194.96,1190.36,1194.95,9211.901,10985032.575938,11596
1672279200000,2022-12-29 02:00:00,ETHUSDT,1191.57,1192.08,1186.77,1191.69,17018.9938,20233523.891798,19040
1672275600000,2022-12-29 01:00:00,ETHUSDT,1194.0,1194.72,1190.77,1191.57,7764.3784,9259659.937472,12028
1672272000000,2022-12-29 00:00:00,ETHUSDT,1190.15,1195.45,1188.86,1194.0,15265.6298,18192903.041028,24807
1672268400000,2022-12-28 23:00:00,ETHUSDT,1185.72,1191.49,1184.94,1190.15,15094.8503,17931251.930497,16651
1672264800000,2022-12-28 22:00:00,ETHUSDT,1187.53,1188.94,1184.13,1185.71,10814.7524,12825605.536949,16331
1672261200000,2022-12-28 21:00:00,ETHUSDT,1194.45,1194.61,1181.06,1187.54,35647.3711,42333269.995315,36539
1672257600000,2022-12-28 20:00:00,ETHUSDT,1193.05,1195.06,1191.33,1194.44,7388.3619,8818377.258593,12591
1672254000000,2022-12-28 19:00:00,ETHUSDT,1196.62,1198.24,1192.46,1193.04,9964.6845,11912281.710165,14434
1672250400000,2022-12-28 18:00:00,ETHUSDT,1196.58,1201.01,1196.21,1196.63,13917.7375,16676216.280151,16601
1672246800000,2022-12-28 17:00:00,ETHUSDT,1193.09,1197.7,1191.29,1196.58,10237.0122,12227477.456841,15796
1672243200000,2022-12-28 16:00:00,ETHUSDT,1189.23,1194.11,1187.9,1193.08,11197.765,13341563.934006,20246
1672239600000,2022-12-28 15:00:00,ETHUSDT,1204.58,1208.15,1186.32,1189.24,40854.7832,48865201.261486,36967
1672236000000,2022-12-28 14:00:00,ETHUSDT,1194.92,1208.0,1190.81,1204.58,42817.3657,51456292.498525,38799
1672232400000,2022-12-28 13:00:00,ETHUSDT,1194.05,1196.51,1192.48,1194.92,7126.8927,8513014.382069,12876
1672228800000,2022-12-28 12:00:00,ETHUSDT,1196.31,1197.09,1193.03,1194.05,7486.3562,8945984.817882,15932
1672225200000,2022-12-28 11:00:00,ETHUSDT,1196.52,1197.91,1195.28,1196.3,5793.6154,6932502.101638,13612
1672221600000,2022-12-28 10:00:00,ETHUSDT,1196.01,1198.32,1194.85,1196.51,7644.8009,9144482.798264,14118
1672218000000,2022-12-28 09:00:00,ETHUSDT,1194.74,1198.29,1193.87,1196.01,8696.8057,10397508.484479,14273
1672214400000,2022-12-28 08:00:00,ETHUSDT,1194.58,1197.49,1193.8,1194.74,7904.3388,9450211.340663,18584
1672210800000,2022-12-28 07:00:00,ETHUSDT,1194.21,1196.36,1193.98,1194.59,6646.9716,7944694.430459,13573
1672207200000,2022-12-28 06:00:00,ETHUSDT,1191.3,1194.5,1189.85,1194.21,8853.2317,10560443.021808,17518
1672203600000,2022-12-28 05:00:00,ETHUSDT,1197.46,1198.19,1188.5,1191.31,22259.7638,26546876.895945,24106
1672200000000,2022-12-28 04:00:00,ETHUSDT,1197.72,1199.78,1196.28,1197.46,6520.3936,7810973.15012,12939
1672196400000,2022-12-28 03:00:00,ETHUSDT,1206.13,1206.53,1186.69,1197.72,50313.9463,60171068.086614,43088
1672192800000,2022-12-28 02:00:00,ETHUSDT,1209.36,1210.92,1205.99,1206.12,7888.7938,9533452.541401,13102
1672189200000,2022-12-28 01:00:00,ETHUSDT,1208.44,1215.78,1204.58,1209.36,12802.7244,15490161.668663,17484
1672185600000,2022-12-28 00:00:00,ETHUSDT,1211.55,1213.06,1206.27,1208.44,9955.5727,12046995.409662,18632
